id,P2,P3,P4,P5,P6,P7,P8,P9,P10,F1,F2,F3,F4,F5,F6,F7,S1,A1,A2,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,TOTAL
10,Urban,Female,20,Bengali,Graduate,"> 60,000",Alone,Postgraduate,Graduate,active,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",no income,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, House",not sure,not sure,not sure,save it,cheaper model,keep it,Multiple businesses/investment,No interest,not sure,not sure,6
11,Urban,Female,20,English,Graduate,"> 60,000",With other adult relatives,Postgraduate,Graduate,passive,active,notes,"Putting money in a savings/deposits account, Giving money to family to save on your behalf",10% - 50%,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Loan",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,12
12,Urban,Male,22,English,Graduate,"> 60,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,"Putting money in a savings/deposits account, Investing in stocks and shares",no income,invest in assets,>= 3 months bu < 6 month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",lose money,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today,10
13,Urban,Male,21,English,12th pass,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,active,active,notes,"Saving cash at home, Putting money in a savings/deposits account",5% - 10%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today,11
14,Urban,Female,35,English,Graduate,"> 60,000","With children under the age of 18, With other adult relatives",Postgraduate,Postgraduate,active,passive,no record,"Putting money in a savings/deposits account, Investing in stocks and shares",< 5%,spend on shopping,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Art works",lose money,100 plus 3pct,"15,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,8
15,Urban,Male,23,English,Graduate,"> 60,000",With other adult relatives,Ph.D.,Postgraduate,passive,passive,no record,Putting money in a savings/deposits account,10% - 50%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Loan, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,same as today,8
16,Urban,Male,21,English,Graduate,"> 60,000","With friends. colleagues or students, With other unrelated adults",Postgraduate,Graduate,active,passive,spreadsheet or same,Putting money in a savings/deposits account,no income,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the second set.,"Jewellery, House, Art works, Child support",lose money,100 plus 3pct,"15,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,10
17,Urban,Female,21,English,12th pass,"> 60,000",With other adult relatives,Postgraduate,Graduate,passive,passive,spreadsheet or same,"Putting money in a savings/deposits account, Investing in stocks and shares",10% - 50%,invest in assets,>= 3 months bu < 6 month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",lose money,105,not sure,save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,not sure,9
18,Urban,Male,21,English,Graduate,"20,000 - 40,000",With friends. colleagues or students,Graduate,Postgraduate,active,active,notes,Saving cash at home,no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,11
19,Urban,Male,21,Bengali,Graduate,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,passive,active,no record,"Saving cash at home, Putting money in a savings/deposits account",no income,unable to save,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",not sure,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,9
20,Urban,Male,21,English,12th pass,"< 20,000",With friends. colleagues or students,Graduate,Graduate,active,passive,no record,Putting money in a savings/deposits account,no income,invest in assets,,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, House",not sure,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,not sure,8
22,Urban,Male,21,English,Graduate,"40,000 - 60,000",With friends. colleagues or students,Graduate,10th pass or less,active,active,notes,"Putting money in a savings/deposits account, Investing in stocks and shares",no income,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",< 2 lakh,100 plus 3pct,not sure,save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today,12
23,Urban,Male,35,English,Ph.D.,"40,000 - 60,000",Alone,12th pass,10th pass or less,active,active,notes,Putting money in a savings/deposits account,10% - 50%,keep in bank account,< 1 week,Check the balance and transactions of my bank account online,Debit card,You buy the first set.,"Jewellery, House",not sure,100 plus 3pct,"15,000",spend it,expensive model,keep it,One business/investment,Not sure,exactly 110,same as today,5
24,Urban,Male,20,English,12th pass,"> 60,000",With other adult relatives,Postgraduate,Graduate,active,passive,no record,"Putting money in a savings/deposits account, Investing in crypto-assets,NFTs",no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the first set.,"Jewellery, Car, House",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today,10
25,Urban,Male,21,English,Graduate,"40,000 - 60,000",With other adult relatives,Graduate,Graduate,active,passive,no record,Putting money in a savings/deposits account,5% - 10%,keep in bank account,>= 3 months bu < 6 month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, House",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,One business/investment,No interest,more than 110,less than today,7
26,Rural,Male,18,English,12th pass,"> 60,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,Saving cash at home,10% - 50%,keep in bank account,>= 1 month but < 3 months,Bought goods and services online,Debit card,You buy the first set.,"Jewellery, Car, House, Art works",lose money,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,exactly 110,less than today,9
27,Urban,Male,23,English,Postgraduate,"> 60,000",With friends. colleagues or students,Graduate,Postgraduate,active,passive,notes,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",5% - 10%,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",< 2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,11
28,Urban,Male,25,English,Graduate,"> 60,000","With children under the age of 18, With other adult relatives",Graduate,Graduate,active,active,no record,"Buying bonds or time deposits, Investing in stocks and shares",> 50%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, House, Art works",lose money,100 plus 3pct,"15,000",spend it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,10
29,Urban,Female,22,English,Graduate,"< 20,000",With other adult relatives,Graduate,Postgraduate,passive,passive,no record,Saving cash at home,no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,not sure,not sure,7
30,Rural,Male,21,English,10th pass or less,"< 20,000",With other adult relatives,Postgraduate,12th pass,passive,passive,notes,"Putting money in a savings/deposits account, Investing in stocks and shares",no income,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Car, House, Child support",lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,One business/investment,No interest,exactly 110,less than today,10
31,Rural,Male,22,English,Postgraduate,"< 20,000",With other adult relatives,Graduate,Graduate,active,passive,notes,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",10% - 50%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,Not sure about any one,lose money,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,12
32,Urban,Male,22,English,Graduate,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,Putting money in a savings/deposits account,no income,unable to save,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Loan",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,less than 110,less than today,8
33,Urban,Male,21,English,12th pass,"< 20,000",With friends. colleagues or students,Postgraduate,Graduate,passive,passive,notes,"Saving cash at home, Putting money in a savings/deposits account",no income,keep in bank account,,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, Car, House, Art works",lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,same as today,12
34,Urban,Male,21,English,Graduate,"> 60,000",With friends. colleagues or students,Graduate,Graduate,passive,passive,no record,"Investing in crypto-assets,NFTs, Investing in stocks and shares",no income,invest in assets,,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"15,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today,9
35,Urban,Male,27,English,Graduate,"> 60,000",With partner/spouse,Graduate,Graduate,active,passive,spreadsheet or same,"Saving cash at home, Putting money in a savings/deposits account, Investing in crypto-assets,NFTs, Investing in stocks and shares",> 50%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,Not sure about any one,2 lakh,100 plus 3pct,"15,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,9
36,Rural,Male,22,English,Graduate,"< 20,000",With friends. colleagues or students,10th pass or less,10th pass or less,passive,passive,no record,Putting money in a savings/deposits account,< 5%,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,Not sure about any one,not sure,100 plus 3pct,"30,000",save it,expensive model,keep it,Not sure,No interest,exactly 110,not sure,6
37,Urban,Female,23,Bengali,Graduate,"> 60,000",With friends. colleagues or students,Graduate,Postgraduate,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",no income,invest in assets,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",< 2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,11
38,Urban,Male,19,English,12th pass,"> 60,000",With other adult relatives,Graduate,Postgraduate,passive,active,spreadsheet or same,"Putting money in a savings/deposits account, Giving money to family to save on your behalf",> 50%,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the second set.,"Jewellery, Car, House, Art works",lose money,100 plus 3pct,"15,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,same as today,11
39,Urban,Female,22,English,Graduate,"> 60,000",With other adult relatives,Postgraduate,Graduate,active,active,no record,"Saving cash at home, Putting money in a savings/deposits account",10% - 50%,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"15,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,exactly 110,not sure,8
40,Urban,Female,21,English,12th pass,"< 20,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf, Investing in crypto-assets,NFTs",< 5%,unable to save,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today,9
41,Urban,Male,22,English,Graduate,"> 60,000",With other adult relatives,12th pass,10th pass or less,passive,passive,no record,Saving cash at home,10% - 50%,spend on shopping,>= 1 month but < 3 months,"Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",lose money,100 plus 3pct,"30,000",spend it,expensive model,keep it,Multiple businesses/investment,Not sure,not sure,not sure,6
42,Urban,Female,21,English,Graduate,"20,000 - 40,000",With partner/spouse,Graduate,Graduate,active,active,notes,Saving cash at home,5% - 10%,keep in bank account,>= 1 month but < 3 months,Check the balance and transactions of my bank account online,Debit card,You buy the first set.,"Jewellery, Car, House, Child support",2 lakh,105,"15,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,more than today,7
43,Rural,Male,24,English,Graduate,"20,000 - 40,000",With partner/spouse,12th pass,12th pass,passive,passive,notes,Putting money in a savings/deposits account,5% - 10%,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"House, Child support",lose money,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,not sure,9
44,Urban,Male,18,English,12th pass,"< 20,000",With friends. colleagues or students,Postgraduate,Ph.D.,passive,passive,no record,"Putting money in a savings/deposits account, Giving money to family to save on your behalf",no income,unable to save,,Bought goods and services online,Debit card,You buy the second set.,"Car, House, Art works",< 2 lakh,100 plus 3pct,not sure,save it,cheaper model,keep it,One business/investment,No interest,more than 110,less than today,8
45,Urban,Male,22,Bengali,Graduate,"> 60,000",With other adult relatives,Postgraduate,Graduate,passive,passive,spreadsheet or same,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",10% - 50%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today,11
46,Urban,Male,21,English,12th pass,"< 20,000",With other adult relatives,Postgraduate,Graduate,active,passive,spreadsheet or same,"Putting money in a savings/deposits account, Investing in stocks and shares",no income,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the first set.,Not sure about any one,not sure,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,11
47,Urban,Male,21,English,Graduate,"20,000 - 40,000",With other adult relatives,Graduate,Postgraduate,passive,active,notes,"Putting money in a savings/deposits account, Buying bonds or time deposits, Investing in stocks and shares",5% - 10%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, House, Art works",< 2 lakh,100 plus 3pct,"15,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,11
48,Urban,Female,20,English,Graduate,"< 20,000",With other adult relatives,Graduate,Postgraduate,passive,passive,no record,Saving cash at home,no income,unable to save,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Loan, Art works",not sure,not sure,not sure,spend it,expensive model,buy beverage,Not sure,No interest,exactly 110,less than today,2
49,Urban,Male,22,English,Graduate,"> 60,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,"Saving cash at home, Investing in stocks and shares",no income,invest in assets,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, House, Not sure about any one",lose money,100 plus 3pct,"15,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,10
50,Urban,Male,22,Bengali,Graduate,"> 60,000",With friends. colleagues or students,Postgraduate,Graduate,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",10% - 50%,invest in assets,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",lose money,100 plus 3pct,"25,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,not sure,10
51,Urban,Female,22,English,Graduate,"> 60,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,Putting money in a savings/deposits account,> 50%,keep in bank account,,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the second set.,"Jewellery, Car, House",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,not sure,8
52,Urban,Male,21,English,Graduate,"< 20,000",With other adult relatives,12th pass,12th pass,passive,passive,no record,Putting money in a savings/deposits account,no income,keep in bank account,,Check the balance and transactions of my bank account online,Credit card,You buy the first set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,same as today,7
53,Urban,Male,27,English,Postgraduate,"40,000 - 60,000",With friends. colleagues or students,Ph.D.,Graduate,active,passive,spreadsheet or same,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf, Investing in stocks and shares",> 50%,invest in assets,>= 3 months bu < 6 month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, House",lose money,100 plus 3pct,"15,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today,10
54,Urban,Female,22,English,Graduate,"20,000 - 40,000",With friends. colleagues or students,12th pass,12th pass,active,active,spreadsheet or same,Putting money in a savings/deposits account,no income,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,exactly 110,not sure,9
55,Urban,Male,20,English,12th pass,"< 20,000",With other adult relatives,Postgraduate,Postgraduate,active,passive,no record,Putting money in a savings/deposits account,no income,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car",2 lakh,100 plus 3pct,not sure,save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,exactly 110,same as today,5
56,Urban,Female,22,English,Graduate,"> 60,000",With other adult relatives,Postgraduate,Graduate,passive,active,spreadsheet or same,"Saving cash at home, Putting money in a savings/deposits account",no income,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the second set.,"Jewellery, Car, House",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,exactly 110,more than today,9
57,Urban,Male,21,English,12th pass,"> 60,000",With other adult relatives,Postgraduate,Postgraduate,passive,passive,notes,Putting money in a savings/deposits account,no income,keep in bank account,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Child support",lose money,100 plus 3pct,not sure,save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,10
58,Urban,Male,24,English,Graduate,"< 20,000",Alone,Postgraduate,Graduate,active,active,no record,Putting money in a savings/deposits account,10% - 50%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, House",2 lakh,100 plus 3pct,"25,000",save it,expensive model,buy beverage,Multiple businesses/investment,Not sure,not sure,not sure,5
59,Urban,Female,21,English,Graduate,"> 60,000",With other adult relatives,Postgraduate,12th pass,passive,passive,notes,Saving cash at home,no income,unable to save,dont know,Bought goods and services online,Credit card,You buy the first set.,"Jewellery, Car, House, Art works",lose money,100 plus 3pct,"15,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today,9
60,Urban,Male,21,English,Graduate,"> 60,000",With friends. colleagues or students,Postgraduate,Graduate,active,passive,no record,"Putting money in a savings/deposits account, Giving money to family to save on your behalf, Investing in stocks and shares",10% - 50%,keep in bank account,>= 3 months bu < 6 month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,House,lose money,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,11
61,Urban,Male,22,English,Graduate,"> 60,000",Alone,Postgraduate,Postgraduate,active,active,spreadsheet or same,"Saving cash at home, Putting money in a savings/deposits account, Buying bonds or time deposits, Investing in stocks and shares",10% - 50%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,12
62,Urban,Other,22,English,12th pass,"> 60,000",With other adult relatives,Graduate,Graduate,passive,active,spreadsheet or same,Putting money in a savings/deposits account,5% - 10%,keep in bank account,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"House, Art works",< 2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,exactly 110,less than today,10
63,Urban,Male,27,English,Postgraduate,"> 60,000",With other adult relatives,Graduate,Graduate,active,passive,no record,Putting money in a savings/deposits account,10% - 50%,invest in assets,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, House, Art works",< 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,10
64,Urban,Female,24,"Other local language (Marathi, Gujarati etc)",Postgraduate,"< 20,000",With partner/spouse,10th pass or less,10th pass or less,active,active,spreadsheet or same,Putting money in a savings/deposits account,no income,keep in bank account,< 1 week,"Managed financial products and services (investments,loan,credits) online",Credit card,You buy the first set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,expensive model,keep it,Multiple businesses/investment,No interest,not sure,less than today,11
