id,P2,P3,P4,P5,P6,P7,P8,P9,P10,F1,F2,F3,F4,F5,F6,F7,S1,A1,A2,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,TOTAL
10,Urban,Female,20,Bengali,Graduate,"> 60,000",Alone,Postgraduate,Graduate,active,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",no income,I keep the money in my bank account,Atleast one month but less than 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, House",Not sure,Not sure,Not sure,"Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Not sure,Not sure,6
11,Urban,Female,20,English,Graduate,"> 60,000",With other adult relatives,Postgraduate,Graduate,passive,active,notes,"Putting money in a savings/deposits account, Giving money to family to save on your behalf",10% - 50%,I keep the money in my bank account,6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Loan",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,12
12,Urban,Male,22,English,Graduate,"> 60,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,"Putting money in a savings/deposits account, Investing in stocks and shares",no income,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",Atleast 3 months but less than 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,10
13,Urban,Male,21,English,12th pass,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,active,active,notes,"Saving cash at home, Putting money in a savings/deposits account",5% - 10%,I keep the money in my bank account,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Exactly Rs. 110,Less than they can buy today,11
14,Urban,Female,35,English,Graduate,"> 60,000","With children under the age of 18, With other adult relatives",Postgraduate,Postgraduate,active,passive,no record,"Putting money in a savings/deposits account, Investing in stocks and shares",< 5%,I spend the saved money on shopping,Less than a week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Art works",You will lose money,Rs. 100 plus 3%,"Rs. 15,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,8
15,Urban,Male,23,English,Graduate,"> 60,000",With other adult relatives,Ph.D.,Postgraduate,passive,passive,no record,Putting money in a savings/deposits account,10% - 50%,I keep the money in my bank account,Atleast one month but less than 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Loan, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,The same amount,8
16,Urban,Male,21,English,Graduate,"> 60,000","With friends. colleagues or students, With other unrelated adults",Postgraduate,Graduate,active,passive,spreadsheet or same,Putting money in a savings/deposits account,no income,I keep the money in my bank account,Atleast one month but less than 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the second set.,"Jewellery, House, Art works, Child support",You will lose money,Rs. 100 plus 3%,"Rs. 15,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,10
17,Urban,Female,21,English,12th pass,"> 60,000",With other adult relatives,Postgraduate,Graduate,passive,passive,spreadsheet or same,"Putting money in a savings/deposits account, Investing in stocks and shares",10% - 50%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",Atleast 3 months but less than 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",You will lose money,Rs. 105,Not sure,"Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Exactly Rs. 110,Not sure,9
18,Urban,Male,21,English,Graduate,"20,000 - 40,000",With friends. colleagues or students,Graduate,Postgraduate,active,active,notes,Saving cash at home,no income,I keep the money in my bank account,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,11
19,Urban,Male,21,Bengali,Graduate,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,passive,active,no record,"Saving cash at home, Putting money in a savings/deposits account",no income,I'm generally not able to save money each month,Less than a week,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",Not sure,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,9
20,Urban,Male,21,English,12th pass,"< 20,000",With friends. colleagues or students,Graduate,Graduate,active,passive,no record,Putting money in a savings/deposits account,no income,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",Atleast a week but less than a month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, House",Not sure,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Not sure,8
22,Urban,Male,21,English,Graduate,"40,000 - 60,000",With friends. colleagues or students,Graduate,10th pass or less,active,active,notes,"Putting money in a savings/deposits account, Investing in stocks and shares",no income,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",Less than Rs. 2 lakhs,Rs. 100 plus 3%,Not sure,"Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Exactly Rs. 110,Less than they can buy today,12
23,Urban,Male,35,English,Ph.D.,"40,000 - 60,000",Alone,12th pass,10th pass or less,active,active,notes,Putting money in a savings/deposits account,10% - 50%,I keep the money in my bank account,Less than a week,Check the balance and transactions of my bank account online,Debit card,You buy the first set.,"Jewellery, House",Not sure,Rs. 100 plus 3%,"Rs. 15,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,One business/investment,Not sure,Exactly Rs. 110,The same amount,5
24,Urban,Male,20,English,12th pass,"> 60,000",With other adult relatives,Postgraduate,Graduate,active,passive,no record,"Putting money in a savings/deposits account, Investing in crypto-assets,NFTs",no income,I keep the money in my bank account,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the first set.,"Jewellery, Car, House",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,10
25,Urban,Male,21,English,Graduate,"40,000 - 60,000",With other adult relatives,Graduate,Graduate,active,passive,no record,Putting money in a savings/deposits account,5% - 10%,I keep the money in my bank account,Atleast 3 months but less than 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, House",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",One business/investment,No interest,More than Rs. 110,Less than they can buy today,7
26,Rural,Male,18,English,12th pass,"> 60,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,Saving cash at home,10% - 50%,I keep the money in my bank account,Atleast one month but less than 3 months,Bought goods and services online,Debit card,You buy the first set.,"Jewellery, Car, House, Art works",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,Exactly Rs. 110,Less than they can buy today,9
27,Urban,Male,23,English,Postgraduate,"> 60,000",With friends. colleagues or students,Graduate,Postgraduate,active,passive,notes,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",5% - 10%,I keep the money in my bank account,6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,11
28,Urban,Male,25,English,Graduate,"> 60,000","With children under the age of 18, With other adult relatives",Graduate,Graduate,active,active,no record,"Buying bonds or time deposits, Investing in stocks and shares",> 50%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Credit card,You buy the second set.,"Jewellery, House, Art works",You will lose money,Rs. 100 plus 3%,"Rs. 15,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,10
29,Urban,Female,22,English,Graduate,"< 20,000",With other adult relatives,Graduate,Postgraduate,passive,passive,no record,Saving cash at home,no income,I keep the money in my bank account,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Not sure,Not sure,7
30,Rural,Male,21,English,10th pass or less,"< 20,000",With other adult relatives,Postgraduate,12th pass,passive,passive,notes,"Putting money in a savings/deposits account, Investing in stocks and shares",no income,I keep the money in my bank account,6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Car, House, Child support",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,One business/investment,No interest,Exactly Rs. 110,Less than they can buy today,10
31,Rural,Male,22,English,Postgraduate,"< 20,000",With other adult relatives,Graduate,Graduate,active,passive,notes,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",10% - 50%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,Not sure about any one,You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,12
32,Urban,Male,22,English,Graduate,"20,000 - 40,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,Putting money in a savings/deposits account,no income,I'm generally not able to save money each month,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Loan",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Less than Rs. 110 (or is it?),Less than they can buy today,8
33,Urban,Male,21,English,12th pass,"< 20,000",With friends. colleagues or students,Postgraduate,Graduate,passive,passive,notes,"Saving cash at home, Putting money in a savings/deposits account",no income,I keep the money in my bank account,Atleast a week but less than a month,Check the balance and transactions of my bank account online,Debit card,You buy the second set.,"Jewellery, Car, House, Art works",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,The same amount,12
34,Urban,Male,21,English,Graduate,"> 60,000",With friends. colleagues or students,Graduate,Graduate,passive,passive,no record,"Investing in crypto-assets,NFTs, Investing in stocks and shares",no income,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",Atleast a week but less than a month,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 15,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,9
35,Urban,Male,27,English,Graduate,"> 60,000",With partner/spouse,Graduate,Graduate,active,passive,spreadsheet or same,"Saving cash at home, Putting money in a savings/deposits account, Investing in crypto-assets,NFTs, Investing in stocks and shares",> 50%,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,Not sure about any one,Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 15,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,9
36,Rural,Male,22,English,Graduate,"< 20,000",With friends. colleagues or students,10th pass or less,10th pass or less,passive,passive,no record,Putting money in a savings/deposits account,< 5%,I keep the money in my bank account,Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,Not sure about any one,Not sure,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Not sure,No interest,Exactly Rs. 110,Not sure,6
37,Urban,Female,23,Bengali,Graduate,"> 60,000",With friends. colleagues or students,Graduate,Postgraduate,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Investing in stocks and shares",no income,"I invest this money periodically across various asset classes like bonds, stocks, cryptocurrency, fixed deposits, etc.",Don't know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",Less than Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,11
38,Urban,Male,19,English,12th pass,"> 60,000",With other adult relatives,Graduate,Postgraduate,passive,active,spreadsheet or same,"Putting money in a savings/deposits account, Giving money to family to save on your behalf",> 50%,I keep the money in my bank account,6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online",Credit card,You buy the second set.,"Jewellery, Car, House, Art works",You will lose money,Rs. 100 plus 3%,"Rs. 15,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,More than Rs. 110,The same amount,11
39,Urban,Female,22,English,Graduate,"> 60,000",With other adult relatives,Postgraduate,Graduate,active,active,no record,"Saving cash at home, Putting money in a savings/deposits account",10% - 50%,I keep the money in my bank account,6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 15,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Exactly Rs. 110,Not sure,8
40,Urban,Female,21,English,12th pass,"< 20,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf, Investing in crypto-assets,NFTs",< 5%,I'm generally not able to save money each month,Atleast one month but less than 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",Rs. 2 lakhs,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,More than Rs. 110,Less than they can buy today,9
41,Urban,Male,22,English,Graduate,"> 60,000",With other adult relatives,12th pass,10th pass or less,passive,passive,no record,Saving cash at home,10% - 50%,I spend the saved money on shopping,Atleast one month but less than 3 months,"Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the second set.,"Jewellery, Car, House, Art works",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Use it for some other personal expense as this money was gifted to you and hence, will not be categorized as 'money you need to save'","You stick with the ₹25,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,Not sure,Not sure,Not sure,6
42,Urban,Female,21,English,Graduate,"20,000 - 40,000",With partner/spouse,Graduate,Graduate,active,active,notes,Saving cash at home,5% - 10%,I keep the money in my bank account,Atleast one month but less than 3 months,Check the balance and transactions of my bank account online,Debit card,You buy the first set.,"Jewellery, Car, House, Child support",Rs. 2 lakhs,Rs. 105,"Rs. 15,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model",You keep the remaining money with yourself and do not buy anything else.,Multiple businesses/investment,No interest,Exactly Rs. 110,More with their share of money than they can buy today,7
43,Rural,Male,24,English,Graduate,"20,000 - 40,000",With partner/spouse,12th pass,12th pass,passive,passive,notes,Putting money in a savings/deposits account,5% - 10%,I keep the money in my bank account,6 months or more,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"House, Child support",You will lose money,Rs. 100 plus 3%,"Rs. 30,000","Add it to your savings for your new phone and go on to save ₹1,000 more for that month","Seeing the huge demand, you decide to buy ₹22,000 model","Buy some light snack or beverage worth ₹20 to top off your lunch, thus exhausting your complete budget for lunch.",Multiple businesses/investment,No interest,More than Rs. 110,Not sure,9
